183897930,"2018-01-17T00:00",1,2018,"D3",354915673,66711847239,5737070,"Revenda","SP",232085340,"Familia 108","Non Crop","C","Non Crop","Venda Bruta",179.754713718,3133.5266928244673,17.432236562877332
183944772,"2018-01-18T00:00",1,2018,"D8",354916121,66711853638,2220502,"Cooperativa","MG",232630668,"Familia 32","Herbicida S","A","Cana","Venda Bruta",551.2477887352001,73255.39400191646,132.8901367024
183944763,"2018-01-18T00:00",1,2018,"D8",354915001,66711853611,8429010,"Revenda","MG",232015740,"Familia 59","Herbicida NS","A","Café","Venda Bruta",12.582829960260002,8282.545240323208,658.24184754
183923823,"2018-01-18T00:00",1,2018,"D8",354916450,66711849417,2082528,"Venda Direta","PR",232630668,"Familia 32","Herbicida S","A","Cana","Venda Bruta",719.018854872,103994.7943661091,144.63430779520002
183914886,"2018-01-18T00:00",1,2018,"D9",354914637,66711855573,3891708,"Venda Direta","MT",234782504,"Familia 75","Fungicida","B","Algodão","Venda Bruta",766.9534451968001,59741.5186571936,77.8945828216
183896646,"2018-01-18T00:00",1,2018,"D10",354916044,66711855933,8358404,"Venda Direta","BA",232067344,"Familia 68","Acaricida","C","Milho Verão","Venda Bruta",299.59118953,2730.2669019526847,9.1133083928
183896652,"2018-01-18T00:00",1,2018,"D10",354916324,66711856122,4868278,"Venda Direta","BA",232254380,"Familia 9","Fungicida","A","Soja","Venda Bruta",1557.8741855560002,133350.5232084438,85.5977488072
183952653,"2018-01-19T00:00",1,2018,"D8",354916933,66711864330,4217138,"Revenda","SP",234425272,"Familia 37","Adjuvant","B","Batata","Venda Bruta",119.836475812,1670.8855111973253,13.94304613746
183957102,"2018-01-19T00:00",1,2018,"D8",354914483,66711864915,2068364,"Revenda","MG",232173716,"Familia 43","Inseticida","C","Café","Venda Bruta",191.73836129920002,7380.926616050196,38.4947830264
183901104,"2018-01-19T00:00",1,2018,"D8",354916450,66711871125,2082528,"Venda Direta","SP",232159736,"Familia 94","Inseticida","B","Cana","Venda Bruta",776.54036326176,182837.73948480145,235.45168819920002
183901125,"2018-01-19T00:00",1,2018,"D8",354916919,66711871152,2192012,"Venda Direta","SP",232490044,"Familia 7","Outros","B","Cana","Venda Bruta",359.509427436,4225.9235050547095,11.754694543600001
183957315,"2018-01-19T00:00",1,2018,"D9",354916338,66711867039,2248984,"Venda Direta","MT",232486848,"Familia 7","Outros","B","Soja","Venda Bruta",479.345903248,4317.983312834177,9.008073884800002
183938319,"2018-01-19T00:00",1,2018,"D9",354916338,66711866085,4784922,"Venda Direta","MT",233575616,"Familia 74","Fungicida","B","Milho Safrinha","Venda Bruta",958.691806496,49666.896843651055,51.8069482884
183973821,"2018-01-22T00:00",1,2018,"D8",354916912,66711878190,2690516,"Venda Direta","TO",235973604,"Familia 74","Fungicida","B","Cana","Venda Bruta",1318.2012339320002,62610.442762781255,47.49687767779091
183995589,"2018-01-22T00:00",1,2018,"D8",354920349,66711880755,8350500,"Venda Direta","MG",232077272,"Familia 78","Inseticida","A","Soja","Venda Bruta",119.836475812,9980.292037900022,83.28258963120001
183995598,"2018-01-22T00:00",1,2018,"D8",354914567,66711880890,2079350,"Revenda","MG",232254284,"Familia 9","Fungicida","A","Soja","Venda Bruta",2396.72951624,226996.78630553497,94.7110572
183995616,"2018-01-22T00:00",1,2018,"D8",354914567,66711880935,5244782,"Revenda","MG",232489868,"Familia 7","Outros","B","Soja","Venda Bruta",1797.5471371800002,20808.038744674042,11.575795880000001
184027347,"2018-01-22T00:00",1,2018,"D9",354914798,66711883698,8064852,"Venda Direta","MT",235638100,,"Outros","B","Algodão","Venda Bruta",1797.5471371800002,36735.64658377909,20.436541453600004
183967785,"2018-01-22T00:00",1,2018,"D9",354916366,66711882699,3771444,"Revenda","MT",233982556,"Familia 73","Inseticida","A","Soja","Venda Bruta",2396.72951624,242785.6738863422,101.29873740080001
183974157,"2018-01-22T00:00",1,2018,"D10",354914427,66711881493,2094134,"Revenda","BA",232489868,"Familia 7","Outros","B","Soja","Venda Bruta",3115.7483711120003,35772.17133523781,11.4810848228
